company_id,tse_industry_code,tej_industry,tej_sub_industry
6512,31,M23C 光電及I/O,M23C3 3C週邊
6515,24,M23B 印刷電路板,M23B2D 其他PCB
6516,30,M23K 通信網路,M23K5 導航定位
6517,26,M23U 消費性電子,M23U1 光學鏡頭
6518,22,M17X 醫藥通路,M17X9 其他藥通路
6523,22,M17Y 化妝美容,M17Y 化妝美容
6525,24,M23G 半導體,M23G2 IC封測
6526,24,M23G 半導體,M23G5B 網通射頻IC
6527,22,M17G 醫療耗材,M17G1 診斷與監測
6530,27,M23K 通信網路,M23K6 光元件模組
6531,24,M23G 半導體,M23G5E 記憶體IC
6532,24,M23H 電子設備,M23H2 電機設備
6533,24,M23G 半導體,M23G5L 矽智財
6534,22,M17C 藥,M17C3 農藥肥料
6535,22,M17C 藥,M17C1C 小分子新藥
6536,30,M23X 資訊服務,M23X2 遊戲軟體
6538,28,M23C 光電及I/O,M23C7F 其他太陽能
6539,22,M17Y 化妝美容,M17Y 化妝美容
6541,22,M17C 藥,M17C1D 大分子新藥
6542,32,M23X 資訊服務,M23X2 遊戲軟體
6543,22,M17G 醫療耗材,M17G2 手術與治療
6546,27,M23K 通信網路,M23K4 網通設備
6547,22,M17C 藥,M17C1D 大分子新藥
6548,24,M23G 半導體,M23G4 IC導線架
6549,22,M17C 藥,M17C1C 小分子新藥
6550,22,M17C 藥,M17C1D 大分子新藥
6552,24,M23B 印刷電路板,M23B2C 軟板
6555,28,M23D 電子零組件,M23D7 二次電池
6556,26,M23C 光電及I/O,M23C9 安全監控
6558,31,M23D 電子零組件,M23D7 二次電池
6559,26,M23C 光電及I/O,M23C6C 封裝及模組
6560,26,M23C 光電及I/O,M23C9 安全監控
6561,27,M23K 通信網路,M23K3 電信及IDC
6563,24,M23G 半導體,M23G5Z 其他IC
6564,22,M17C 藥,M17C1D 大分子新藥
6565,36,M23X 資訊服務,M23X9 應用軟體
6568,24,M23G 半導體,M23G5B 網通射頻IC
6569,22,M23A 電腦及週邊,M23A5B 工業電腦
6570,25,M23A 電腦及週邊,M23A5B 工業電腦
6572,22,M17G 醫療耗材,M17G3 體外診斷
6573,24,M23D 電子零組件,M23D1 分離式元件
6574,22,M17Y 化妝美容,M17Y 化妝美容
6576,22,M17C 藥,M17C1C 小分子新藥
6577,25,M23A 電腦及週邊,M23A5B 工業電腦
6578,33,M12B 油脂飼料,M12B 油脂飼料
6579,25,M23A 電腦及週邊,M23A5B 工業電腦
6580,22,M17C 藥,M17C1C 小分子新藥
6581,35,M99L 資源回收,M99L2 廢棄物處理
6582,11,M21C 橡膠原料,M21C 橡膠原料
6583,32,M99H 電視廣播,M99H 電視廣播
6584,28,M20B 金屬製品,M20B 金屬製品
6585,20,M17F 樹脂,M17F 樹脂
6586,22,M17C 藥,M17C1D 大分子新藥
6588,27,M23K 通信網路,M23K6 光元件模組
6589,22,M17C 藥,M17C1D 大分子新藥
6590,30,M23X 資訊服務,M23X1 系統整合
6591,25,M23D 電子零組件,M23D9B 散熱零組件
6592,20,M28K 租賃,M28K 租賃
6593,30,M23Z 其他電子,M23Z 其他電子
6595,32,M99Z 其他,M99ZX 其他服務
6596,32,M99E 廣告,M99E 廣告
6597,28,M23D 電子零組件,M23D5 被動元件
6598,22,M17G 醫療耗材,M17G3 體外診斷
6599,25,M23A 電腦及週邊,M23A5A POS
6603,05,M15A 機械,M15A1 工具機
6604,05,M15D 汽車組件,M15D 汽車組件
6605,12,M15D 汽車組件,M15D 汽車組件
6606,05,M15A 機械,M15A1 工具機
6609,05,M15A 機械,M15A1 工具機
6610,22,M17C 藥,M17C1C 小分子新藥
6612,22,M17G 醫療耗材,M17G4 輔助與彌補
6613,31,M23H 電子設備,M23H1 廠辦機電
6614,36,M23X 資訊服務,M23X1 系統整合
6615,22,M17H 生物科技,M17H2 基因檢測
6616,38,M99B 五金及家具,M99B 五金及家具
6617,22,M17C 藥,M17C1C 小分子新藥
6618,21,M17Z 其他化學,M17Z 其他化學
6620,22,M17C 藥,M17C1C 小分子新藥
6621,22,M17G 醫療耗材,M17G2 手術與治療
6622,32,M99H 電視廣播,M99H 電視廣播
6624,35,M99L 資源回收,M99L2 廢棄物處理
6625,20,M99H 電視廣播,M99H 電視廣播
6629,38,M99B 五金及家具,M99B 五金及家具
6634,22,M17C 藥,M17C1C 小分子新藥
6637,22,M17G 醫療耗材,M17G1 診斷與監測
6638,25,M23C 光電及I/O,M23C3 3C週邊
6639,23,M99D 公用事業,M99D3 汽電共生
6640,24,M23H 電子設備,M23H2 電機設備
6641,35,M99L 資源回收,M99L2 廢棄物處理
6642,28,M23D 電子零組件,M23D5 被動元件
6643,24,M23G 半導體,M23G5L 矽智財
6645,22,M17G 醫療耗材,M17G3 體外診斷
6648,31,M15B 電機製品,M15B1 電機
6649,22,M17G 醫療耗材,M17G2 手術與治療
6650,32,M99E 廣告,M99E 廣告
6651,24,M23G 半導體,M23G5K MOSFET
6652,22,M17C 藥,M17C1C 小分子新藥
6654,31,M23H 電子設備,M23H2 電機設備
6655,20,M99Z 其他,M99ZC 其他製造
6657,22,M17C 藥,M17C1C 小分子新藥
6658,31,M23H 電子設備,M23H2 電機設備
6659,22,M17C 藥,M17C1E 植物及中藥
6661,22,M17H 生物科技,M17H2 基因檢測
6662,22,M17H 生物科技,M17H1 細胞醫療
6664,28,M23H 電子設備,M23H2 電機設備
6665,22,M17G 醫療耗材,M17G3 體外診斷
6666,22,M17Y 化妝美容,M17Y 化妝美容
6667,31,M23H 電子設備,M23H1 廠辦機電
6668,26,M23U 消費性電子,M23U1 光學鏡頭
6669,25,M23A 電腦及週邊,M23A2 泛用電腦
6670,37,M99Z 其他,M99Z2 高爾夫用品
6671,38,M99Z 其他,M99ZC 其他製造
6672,28,M23B 印刷電路板,M23B3A 銅箔基板
6673,26,M23C 光電及I/O,M23CZ1 投影裝置
6674,27,M23K 通信網路,M23K4 網通設備
6676,22,M17C 藥,M17C1B 學名藥
6677,22,M17C 藥,M17C1B 學名藥
6679,24,M23G 半導體,M23G5J 音訊IC
6680,25,M23A 電腦及週邊,M23A5B 工業電腦
6682,26,M23C 光電及I/O,M23C7F 其他太陽能
6683,24,M23B 印刷電路板,M23B2D 其他PCB
6684,24,M23G 半導體,M23G5F 傳輸介面IC
6689,36,M23X 資訊服務,M23X1 系統整合
6690,36,M23X 資訊服務,M23X1 系統整合
6691,31,M23H 電子設備,M23H1 廠辦機電
6692,35,M23C 光電及I/O,M23C7E 太陽能系統
6693,24,M23G 半導體,M23G5K MOSFET
6695,24,M23G 半導體,M23G5Z 其他IC
6696,22,M17C 藥,M17C1C 小分子新藥
6697,30,M23X 資訊服務,M23X1 系統整合
6698,31,M23C 光電及I/O,M23C8C LCD原料
6703,22,M17Y 化妝美容,M17Y 化妝美容
6704,22,M17H 生物科技,M17H1 細胞醫療
6705,05,M20B 金屬製品,M20B 金屬製品
6706,26,M23H 電子設備,M23H2 電機設備
6707,29,M23T 電子通路,M23T1 3C通路
6708,24,M23G 半導體,M23G5B 網通射頻IC
6709,22,M17C 藥,M17C1D 大分子新藥
6712,22,M17H 生物科技,M17H1 細胞醫療
6715,28,M23D 電子零組件,M23D2 連接器
6716,24,M23G 半導體,M23G5H 微控制器IC
6719,24,M23G 半導體,M23G5D 電源管理IC
6720,24,M23G 半導體,M23G5Z 其他IC
6721,20,M99Z 其他,M99ZX 其他服務
6722,31,M15D 汽車組件,M15D 汽車組件
6723,35,M23H 電子設備,M23H1 廠辦機電
6725,31,M23H 電子設備,M23H1 廠辦機電
6727,28,M23H 電子設備,M23H2 電機設備
6728,38,M15C 家電製品,M15C1 家電
6729,26,M23C 光電及I/O,M23CZ2 其他顯示
6730,22,M17G 醫療耗材,M17G2 手術與治療
6732,24,M23G 半導體,M23G5I 感測器IC
6733,22,M17G 醫療耗材,M17G4 輔助與彌補
6734,22,M17G 醫療耗材,M17G3 體外診斷
6735,31,M23H 電子設備,M23H2 電機設備
6737,25,M23D 電子零組件,M23D9D 其他零組件
6738,30,M23E 數位雲端,M23E2 數位服務
6739,31,M23H 電子設備,M23H2 電機設備
6741,36,M23E 數位雲端,M23E2 數位服務
6742,26,M23U 消費性電子,M23U1 光學鏡頭
6743,31,M23U 消費性電子,M23U2 聲學產品
6744,22,M17G 醫療耗材,M17G3 體外診斷
6748,22,M17G 醫療耗材,M17G4 輔助與彌補
6750,31,M15B 電機製品,M15B2 機電工程
6751,30,M23X 資訊服務,M23X1 系統整合
6752,30,M23X 資訊服務,M23X9 應用軟體
6753,15,M22B 機車船製造,M22B1 船舶製造
6754,38,M25C 工程承攬,M25C 工程承攬
6755,28,M23D 電子零組件,M23D9A 沖壓零組件
6756,24,M23G 半導體,M23G5F 傳輸介面IC
6757,15,M26D 空運,M26D 空運
6758,22,M17G 醫療耗材,M17G4 輔助與彌補
6761,28,M23Z 其他電子,M23Z 其他電子
6762,22,M17G 醫療耗材,M17G2 手術與治療
6763,36,M23E 數位雲端,M23E2 數位服務
6767,22,M17G 醫療耗材,M17G4 輔助與彌補
6768,37,M99K 鞋及旅行箱,M99K 鞋及旅行箱
6770,24,M23G 半導體,M23G1A 晶圓代工
6771,35,M99L 資源回收,M99L2 廢棄物處理
6775,26,M23C 光電及I/O,M23C8C LCD原料
6776,29,M23T 電子通路,M23T1 3C通路
6780,32,M99Z 其他,M99ZX 其他服務
6781,28,M23D 電子零組件,M23D7 二次電池
6782,22,M17G 醫療耗材,M17G4 輔助與彌補
6784,27,M23K 通信網路,M23K5 導航定位
6785,22,M17C 藥,M17C1D 大分子新藥
6786,24,M23G 半導體,M23G5L 矽智財
6787,26,M23C 光電及I/O,M23CZ2 其他顯示
6788,24,M23H 電子設備,M23H2 電機設備
6789,24,M23G 半導體,M23G6 其他半導體
6790,09,M19A 造紙,M19A 造紙
6791,30,M23X 資訊服務,M23X9 應用軟體
6792,27,M23D 電子零組件,M23D5 被動元件
6793,20,M17F 樹脂,M17F 樹脂
6794,22,M17H 生物科技,M17H1 細胞醫療
6796,22,M17G 醫療耗材,M17G1 診斷與監測
6797,22,M17G 醫療耗材,M17G3 體外診斷
6798,37,M99Z 其他,M99ZX 其他服務
6799,24,M23G 半導體,M23G5D 電源管理IC
6803,35,M99L 資源回收,M99L2 廢棄物處理
6804,37,M99Z 其他,M99Z1 自行健行車
6805,28,M23D 電子零組件,M23D9A 沖壓零組件
6806,35,M99D 公用事業,M99D4 電力及能源
6807,38,M99B 五金及家具,M99B 五金及家具
6808,22,M17G 醫療耗材,M17G4 輔助與彌補
6810,22,M17G 醫療耗材,M17G3 體外診斷
6811,36,M23X 資訊服務,M23X1 系統整合
