資料年月,代號,名稱,市場,產業別,YoY%,MoM%,產業中位YoY%,同業家數,相對強度
11508,3646,艾恩特,TPEx,M23D 電子零組件,50.80557194714161,6.78154952582332,25.08933578159188,195,25.716236165549727
11508,5607,遠雄港,TWSE,M26C 貨運倉儲,33.496752221260934,-5.601875319237365,7.804528243900269,15,25.692223977360666
11508,2477,美隆電,TWSE,M23U 消費性電子,27.950818777888088,16.26522944541192,2.398733541059403,27,25.552085236828685
11508,4572,駐龍,TWSE,M22B 機車船製造,48.85107594824057,40.43728694016692,23.571776912366506,11,25.279299035874065
11508,1802,台玻,TWSE,M18 玻璃陶瓷,32.59146823861491,0.2357161348229062,7.346100003793483,6,25.245368234821427
11508,2609,陽明,TWSE,M26A 海運,56.170783181394626,3.7214686547250384,31.062250846303606,12,25.10853233509102
11508,1326,台化,TWSE,M13A 石化,31.695431346947952,-2.2669863987020697,6.645585813622416,30,25.049845533325538
11508,6655,科定,TWSE,M99Z 其他,30.185411296522407,-6.22161848731831,5.206317955870409,27,24.979093340652
11508,6155,鈞寶,TWSE,M23D 電子零組件,50.04599448066232,16.197172192712124,25.08933578159188,195,24.95665869907044
11508,7772,耀穎,TPEx,M23G 半導體,54.2007874015748,35.053963656425644,29.27771748942473,163,24.92306991215007
11508,3044,健鼎,TWSE,M23B 印刷電路板,65.47995924001005,4.097822462615335,40.582840603580124,66,24.897118636429923
11508,2108,南帝,TWSE,M21C 橡膠原料,41.8298987938219,1.7745435727632901,16.964632724446172,5,24.865266069375725
11508,8040,九暘,TPEx,M23G 半導體,54.12023955501057,3.383122533884869,29.27771748942473,163,24.84252206558584
11508,8923,時報,TPEx,M99F 平媒電子報,27.1198980640388,-7.142857142857143,2.341043559382584,2,24.778854504656216
11508,6418,詠昇,TPEx,M23D 電子零組件,49.7865990629613,-3.6395916555703507,25.08933578159188,195,24.69726328136942
11508,1590,亞德客-KY,TWSE,M15A 機械,43.32524872352335,-7.1785635512373815,18.699479537392047,44,24.625769186131304
11508,3686,達能,TWSE,M23C 光電及I/O,34.30896630496859,18.32704402515723,9.849321993850566,130,24.459644311118026
11508,3029,零壹,TWSE,M23X 資訊服務,44.443850807787626,7.57502757550259,20.16137918832383,73,24.282471619463795
11508,1256,鮮活果汁-KY,TWSE,M12C 飲料乳品,25.546216536255777,4.774330645851466,1.3080196339671886,7,24.23819690228859
11508,7780,大研生醫*,TWSE,M17C 藥,38.13824433502897,2.981079272373304,13.935210320845938,75,24.203034014183032
11508,5703,亞都麗緻,TPEx,M27A 餐飲飯店,28.094970775682725,38.47499375290044,4.04536424457842,40,24.049606531104306
11508,2330,台積電,TWSE,M23G 半導體,53.320053714712955,10.099818994181083,29.27771748942473,163,24.042336225288224
11508,1711,永光,TWSE,M17B 染料及顏料,33.157168626164825,-4.396573347461748,9.254815718380485,6,23.90235290778434
11508,1781,合世,TPEx,M17G 醫療耗材,33.16265886440523,38.06047966631908,9.322370286362348,57,23.84028857804288
11508,2049,上銀,TWSE,M15A 機械,42.300945967107126,0.9836495943163266,18.699479537392047,44,23.601466429715078
11508,5905,南仁湖,TPEx,M27B 觀光遊樂區,18.030107259056308,-9.423886748499239,-5.361117507099547,3,23.391224766155855
11508,1402,遠東新,TWSE,M14A 人纖,15.195638379471621,-2.2860416646070982,-8.157545288115324,14,23.353183667586947
11508,6415,矽力*-KY,TWSE,M23G 半導體,52.53892158873933,2.5369954638471888,29.27771748942473,163,23.261204099314597
11508,6922,宸曜,TPEx,M23A 電腦及週邊,58.97520147679955,-6.0346684463465365,35.82690162998942,65,23.148299846810126
11508,5321,美而快,TPEx,M23E 數位雲端,34.91961414790997,108.89643023372277,11.881400723492241,20,23.038213424417727
11508,6279,胡連,TPEx,M15D 汽車組件,29.816930407984422,-0.1225482661879497,6.816747433041865,54,23.000182974942557
11508,4104,佳醫,TWSE,M17G 醫療耗材,32.2453706621182,11.961354329439047,9.322370286362348,57,22.923000375755848
11508,3466,德晉,TPEx,M23K 通信網路,49.72630365888793,22.378335949764523,26.817191653679874,74,22.909112005208055
11508,2061,風青,TPEx,M16 電纜,42.421351396474826,-5.2783528049428545,19.598369292655352,11,22.822982103819474
11508,8931,大汽電,TPEx,M99D 公用事業,38.158404508232806,3.112975990589441,15.499684873151953,15,22.658719635080853
11508,6142,友勁,TWSE,M23K 通信網路,49.47108414326371,33.80842792162141,26.817191653679874,74,22.653892489583836
11508,2444,兆勁,TWSE,M23K 通信網路,49.281115246027525,55.00177868279339,26.817191653679874,74,22.46392359234765
11508,2236,百達-KY,TWSE,M15D 汽車組件,29.236208348757234,-2.7252830676293387,6.816747433041865,54,22.41946091571537
11508,4714,永捷,TPEx,M17F 樹脂,42.9489518561269,28.435892117570706,20.56055139970624,16,22.388400456420655
11508,6870,騰雲,TPEx,M23E 數位雲端,34.13756613756614,5.25325214503183,11.881400723492241,20,22.256165414073898
11508,9962,有益,TPEx,M20A 基本金屬,34.06589761239333,-13.942581541557315,11.847793061266259,53,22.21810455112707
11508,2646,星宇航空,TWSE,M26D 空運,47.787823252625145,-2.620261357590416,26.06987060312211,4,21.717952649503037
11508,3033,威健,TWSE,M23T 電子通路,56.83746008784256,-14.145570184596256,35.1919397058577,57,21.64552038198486
11508,6944,兆聯實業,TWSE,M99L 資源回收,37.21291990021215,10.36985856681334,15.567574908502475,28,21.645344991709674
11508,6605,帝寶,TWSE,M15D 汽車組件,28.251422830345653,3.113006174514663,6.816747433041865,54,21.43467539730379
11508,6662,樂斯科,TPEx,M17H 生物科技,32.83032023507147,12.157275021026072,11.542346291878882,11,21.287973943192586
11508,1336,台翰,TPEx,M23D 電子零組件,46.14113277623027,-2.94386068768191,25.08933578159188,195,21.05179699463839
11508,2486,一詮,TWSE,M23D 電子零組件,46.069210459555194,5.069789698213286,25.08933578159188,195,20.979874677963313
11508,2736,富野,TPEx,M27A 餐飲飯店,24.93730451689256,-0.8430986671437517,4.04536424457842,40,20.89194027231414
11508,2515,中工,TWSE,M25B 營造,28.83948243046841,13.272333841339274,7.954559176920941,17,20.88492325354747
11508,4961,天鈺,TWSE,M23G 半導體,50.151362691195914,7.2526415686091115,29.27771748942473,163,20.873645201771183
11508,5291,邑昇,TPEx,M23B 印刷電路板,61.4139456123347,-21.82095817753101,40.582840603580124,66,20.831105008754577
11508,5426,振發,TPEx,M23D 電子零組件,45.86523851789448,-13.800568078268562,25.08933578159188,195,20.7759027363026
11508,4534,慶騰,TPEx,M15A 機械,39.43849476362345,-19.0683059170988,18.699479537392047,44,20.739015226231405
11508,5309,系統電,TPEx,M15D 汽車組件,27.55214093238423,2.6776002532780385,6.816747433041865,54,20.735393499342365
11508,2316,楠梓電,TWSE,M23B 印刷電路板,61.188907858085834,-8.595757189750625,40.582840603580124,66,20.60606725450571
11508,1742,台蠟,TPEx,M17Z 其他化學,52.506194015627976,119.05283328770874,31.91683473311466,18,20.589359282513318
11508,6451,訊芯-KY,TWSE,M23G 半導體,49.80825821371576,-10.973466131356805,29.27771748942473,163,20.53054072429103
11508,3467,台灣精材,TPEx,M23G 半導體,49.80566242478051,10.57567681710283,29.27771748942473,163,20.527944935355777
11508,4142,國光生,TWSE,M17C 藥,34.461213111602426,-68.23126713495449,13.935210320845938,75,20.526002790756486
11508,4543,萬在,TPEx,M15D 汽車組件,27.32165183829525,-3.3028280465148283,6.816747433041865,54,20.504904405253384
11508,2492,華新科,TWSE,M23D 電子零組件,45.54208446583508,2.8056594288635734,25.08933578159188,195,20.4527486842432
11508,4510,高鋒,TPEx,M15A 機械,39.02554124497234,2.943848614359057,18.699479537392047,44,20.32606170758029
11508,4930,燦星網,TWSE,M15C 家電製品,31.426416017616116,21.952853034660208,11.219507352700457,22,20.20690866491566
11508,2440,太空梭,TWSE,M23D 電子零組件,45.294396363447916,-1.2193219110511586,25.08933578159188,195,20.205060581856035
11508,4580,捷流閥業,TPEx,M15Z 其他電製品,19.69746240706893,4.055680926455751,-0.5053297359458623,9,20.202792143014793
11508,6499,益安,TPEx,M17G 醫療耗材,29.515223677496174,-10.260701489722798,9.322370286362348,57,20.192853391133823
11508,5244,弘凱,TWSE,M23C 光電及I/O,29.767265687471067,2.933256181425678,9.849321993850566,130,19.9179436936205
11508,1465,偉全,TWSE,M14C 成衣,24.993393234672304,-40.53620819713352,5.367630831359371,28,19.625762403312933
