資料年月,代號,名稱,市場,產業別,YoY%,MoM%,產業中位YoY%,相對強度
11508,6220,岳豐,TPEx,電子零組件業,68.01226096987067,0.1085279187817259,29.750508203062697,38.26175276680797
11508,1303,南亞,TWSE,塑膠工業,46.746902846686,0.09347590944474662,8.722470848002123,38.02443199868387
11508,4728,雙美,TPEx,生技醫療業,48.818304279979195,0.7558073910197078,10.87404800799546,37.94425627198373
11508,6206,飛捷,TWSE,電腦及週邊設備業,62.175214994119465,2.603429138352909,25.200742370543818,36.97447262357565
11508,7780,大研生醫*,TWSE,食品工業,38.13824433502897,2.981079272373304,1.3068797196628994,36.83136461536607
11508,6005,群益證,TWSE,金融保險業,45.34586757893414,48.11666933847363,8.817960929271047,36.527906649663095
11508,1410,南染,TWSE,紡織纖維,36.32137149498765,3.748341441839894,-0.06602217024011142,36.38739366522776
11508,3624,光頡,TPEx,電子零組件業,65.7609210971893,4.412337708508127,29.750508203062697,36.0104128941266
11508,3044,健鼎,TWSE,電子零組件業,65.47995924001005,4.097822462615335,29.750508203062697,35.72945103694735
11508,8411,福貞-KY,TWSE,其他,42.410299412069655,21.437956962742195,6.798290381685865,35.61200903038379
11508,4702,中美實,TPEx,居家生活,39.21259842519685,2538.805970149254,3.9080529454810256,35.30454547971583
11508,2486,一詮,TWSE,光電業,46.069210459555194,5.069789698213286,10.869800594642088,35.19940986491311
11508,2354,鴻準,TWSE,其他電子業,58.41679083173851,2.0757869205314243,23.22306770081476,35.19372313092375
11508,4540,全球傳動,TWSE,電機機械,45.043492645538386,3.1024007839294465,9.955734548221304,35.08775809731708
11508,8024,佑華,TPEx,半導體業,64.88353555929501,14.643758852146068,29.99232947887792,34.89120608041709
11508,6612,奈米醫材,TPEx,生技醫療業,45.710613031901325,32.01253327417923,10.87404800799546,34.83656502390586
11508,6505,台塑化,TWSE,油電燃氣業,50.28664779657053,9.469141242793931,16.68268801195495,33.603959784615576
11508,2535,達欣工,TWSE,建材營造,44.16751718611615,6.622818691464409,10.642243208931497,33.52527397718465
11508,6728,上洋,TPEx,居家生活,37.295861620465196,7.753694393299052,3.9080529454810256,33.38780867498417
11508,2605,新興,TWSE,航運業,58.75071504262123,6.044078803127904,25.441132804790072,33.30958223783116
11508,3591,艾笛森,TWSE,光電業,44.13254324661866,0.632274965399272,10.869800594642088,33.26274265197657
11508,9955,佳龍,TWSE,綠能環保,48.63394781688442,72.3821127205451,15.414169395407162,33.21977842147726
